Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
"Cuero prensado en aluminio 13"" IVSOM","$17,700.00","$26,727.00","$24,957.00","$37,685.07",,,
"Cuero prensado en aluminio 14"" IVSOM","$18,300.00","$27,633.00","$25,803.00","$38,962.53",,,
"Cuero prensado en aluminio 16"" IVSOM","$18,900.00","$28,539.00","$26,649.00","$40,239.99",,,
"Cuero prensado en aluminio 18"" IVSOM","$28,500.00","$43,035.00","$40,185.00","$60,679.35",,,
"Cuero prensado en aluminio 20"" IVSOM","$33,000.00","$49,830.00","$46,530.00","$70,260.30",,,
"Cuero prensado en aluminio 22"" IVSOM","$35,700.00","$53,907.00","$50,337.00","$76,008.87",,,
"Cuero Prensado en aluminio 24"" IVSOM","$41,250.00","$62,287.50","$58,162.50","$87,825.38",,,
"Cuero Prensado en alumino 26"" IVSOM","$46,200.00","$69,762.00","$65,142.00","$98,364.42",,,
"Cuero suelto 12"" IVSOM","$13,200.00","$19,932.00","$18,612.00","$28,104.12",,,
"Cuero suelto 14"" IVSOM","$15,300.00","$23,103.00","$21,573.00","$32,575.23",,,
"Cuero suelto 16"" IVSOM","$21,000.00","$31,710.00","$29,610.00","$44,711.10",,,
"Cuero suelto 18"" IVSOM","$26,100.00","$39,411.00","$36,801.00","$55,569.51",,,
"Cuero suelto 20"" IVSOM","$27,900.00","$42,129.00","$39,339.00","$59,401.89",,,
"Cuero suelto 22"" IVSOM","$30,600.00","$46,206.00","$43,146.00","$65,150.46",,,
"Cuero suelto 24"" IVSOM","$37,200.00","$56,172.00","$52,452.00","$79,202.52",,,
"Cuero suelto 26"" IVSOM","$41,700.00","$62,967.00","$58,797.00","$88,783.47",,,
"Cuero suelto 28"" IVSOM","$48,300.00","$72,933.00","$68,103.00","$102,835.53",,,
"Cuero suelto 30"" IVSOM","$48,300.00","$72,933.00","$68,103.00","$102,835.53",,,
"Cuica 9,5"" vazada IVSOM","$199,500.00","$301,245.00","$281,295.00","$424,755.45",,,
"Cuica Acero Inox 8"" IVSOM","$148,500.00","$224,235.00","$209,385.00","$316,171.35",,,
"Cuica ACero Inox 9,5"" IVSOM","$159,900.00","$241,449.00","$225,459.00","$340,443.09",,,
"Cuica Acero Inoz 10"" IVSOM","$169,350.00","$255,718.50","$238,783.50","$360,563.09",,,
"Cuica 8"" Contemporánea","$143,700.00","$216,987.00","$202,617.00","$305,951.67",,,
"Cuica 9"" Cónica Gope","$269,700.00","$407,247.00","$380,277.00","$574,218.27",,,
"Cuica 10"" Gope","$269,700.00","$407,247.00","$380,277.00","$574,218.27",,,
"Cuica 10"" Contemporánea","$299,700.00","$452,547.00","$422,577.00","$638,091.27",,,
"Cuica 10"" Redençao","$299,700.00","$452,547.00","$422,577.00","$638,091.27",,,
